,test,pred,pred_upper,pred_lower
64280,14500,39770.95150011216,96201.04907625877,-16659.14607603445
64281,83000,40484.97401077916,96915.07158287727,-15945.12356131895
64282,24000,39732.981232292936,96163.0788039279,-16697.11633934202
64283,12000,40516.16759989959,96946.26517064657,-15913.929970847385
64284,14100,40568.620123813016,96998.71769375663,-15861.4774461306
64285,52500,38267.41910428777,94697.5166727569,-18162.678464181365
64286,75000,39006.395192554584,95436.49276076678,-17423.70237565761
64287,72000,40136.28742414177,96566.38499065996,-16293.810142376431
64288,84000,40285.54679686214,96715.64436289929,-16144.55076917501
64289,70000,42151.62398025356,98581.72153432322,-14278.47357381611
64290,20000,43150.17163326008,99580.2691870622,-13279.925920542031
64291,62000,42683.931614176916,99114.02916628627,-13746.165937932441
64292,12000,43028.024027186344,99458.12157867549,-13402.073524302796
64293,35000,42636.98074325539,99067.07829444185,-13793.11680793106
64294,19000,42105.15980931003,98535.25735549882,-14324.937736878746
64295,15500,41516.83474412284,97946.93228989499,-14913.262801649304
64296,5000,40996.15129155371,97426.24883679298,-15433.946253685564
64297,14000,39847.14378361823,96277.2413265417,-16582.953759305237
64298,38000,38949.14574541578,95379.24328802424,-17480.951797192683
64299,10000,38687.935054941576,95118.03258443791,-17742.16247455476
64300,60900,38201.027320104724,94631.12484894288,-18229.07020873343
64301,25000,38153.494720240466,94583.59224879081,-18276.602808309886
64302,52500,38236.21107606063,94666.30859886722,-18193.886446745964
64303,24000,38526.18280352773,94956.28032593761,-17903.914718882144
64304,13000,38112.942135487894,94543.0396566478,-18317.155385672006
64305,50000,37826.29099136339,94256.38851203736,-18603.806529310576
64306,26400,37454.66186822149,93884.75938789596,-18975.43565145297
64307,22000,37431.248333648495,93861.34585277578,-18998.849185478786
64308,28900,37405.54543419536,93835.64295295568,-19024.552084564966
64309,30500,36524.664779387705,92954.76225627592,-19905.432697500502
64310,1300,36549.9524730119,92980.04994959035,-19880.14500356654
64311,26700,36156.026543495806,92586.12401788676,-20274.07093089514
64312,25515,35004.34916100453,91434.44663488149,-21425.74831287242
64313,8000,34939.032064703664,91369.12953831404,-21491.06540890671
64314,32900,34734.697601436535,91164.79507454492,-21695.39987167185
64315,40950,33729.099355413746,90159.19682590864,-22700.99811508115
64316,24000,34102.18206429756,90532.27953451133,-22327.915405916203
64317,20000,34411.03325105448,90841.13072068387,-22019.064218574902
64318,50000,33437.552512944436,89867.64997939114,-22992.54495350227
64319,18000,33713.13240771194,90143.22987387568,-22716.965058451795
64320,12000,34017.81380162183,90447.91126699267,-22412.28366374901
64321,13000,33052.1097237402,89482.20718617343,-23377.98773869303
64322,10000,32388.562278255937,88818.65974040612,-24041.53518389425
64323,12000,32098.137998055015,88528.2354594452,-24331.959463335177
64324,36750,31141.179898235467,87571.27735794049,-25288.917561469556
64325,35000,30988.753308124695,87418.85076758242,-25441.34415133304
64326,24000,31420.96086457771,87851.05832322309,-25009.13659406767
64327,50000,31167.263859736086,87597.3613172852,-25262.833597813034
64328,4200,31282.137352073703,87712.23480937089,-25147.960105223487
64329,14000,31363.30160177141,87793.39904596377,-25066.795842420957
64330,8400,30578.580754900497,87008.67819867184,-25851.516688870848
64331,18000,29678.119100058757,86108.2165431712,-26751.97834305369
64332,14000,29664.56480986359,86094.66225186147,-26765.5326321343
64333,23400,28992.155446792174,85422.25288852162,-27437.941994937275
64334,15800,28609.372628314057,85039.47006702272,-27820.724810394597
64335,26500,28626.985668625344,85057.0831068374,-27803.11176958671
64336,11500,28199.388148645565,84629.48558649534,-28230.709289204206
64337,22050,27870.532633859024,84300.63006861924,-28559.5648009012
64338,15400,27792.34823598699,84222.44567048133,-28637.74919850735
64339,25000,27219.990776461796,83650.08821013788,-29210.106657214295
64340,15000,27164.862123972278,83594.95955673693,-29265.235308792377
64341,31000,27010.72338782184,83440.82082030423,-29419.37404466055
64342,12000,26734.737308742417,83164.83473630049,-29695.360118815657
64343,5000,26660.116998979465,83090.21442607787,-29769.980428118935
64344,35800,26205.731721359713,82635.8291481557,-30224.365705436263
64345,42000,25672.464449274197,82102.56160752091,-30757.632708972513
64346,38800,26356.61947273839,82786.71659300802,-30073.477647531232
64347,32500,26952.16401686404,83382.26113676192,-29477.93310303384
64348,26250,26843.200975208958,83273.29809216643,-29586.89614174851
64349,26250,27134.447734278412,83564.54485070068,-29295.649382143853
64350,10000,27138.131444792598,83568.22856069141,-29291.965671106213
64351,33000,26613.17072838149,83043.26784380284,-29816.926387039857
64352,40000,26664.538728960022,83094.63584254042,-29765.55838462037
64353,22000,26911.360468676,83341.45758183204,-29518.736644480035
64354,25000,27075.148751962028,83505.245864022,-29354.948360097937
64355,22000,26968.184692141946,83398.28180380828,-29461.912419524382
64356,15750,26722.7280027043,83152.82511046196,-29707.369105053353
64357,22000,26641.234550293866,83071.33165750775,-29788.862556920012
64358,40000,26325.318573168894,82755.41567988318,-30104.77853354539
64359,3500,26402.656434432276,82832.75354074549,-30027.440671880933
64360,17300,26473.8127130509,82903.90981683155,-29956.284390729754
64361,19950,25844.60829572613,82274.70539907635,-30585.48880762409
64362,12000,25405.10877468749,81835.20587730469,-31024.988327929714
64363,14000,25559.400639788808,81989.49774199937,-30870.69646242175
64364,9000,24895.16983171711,81325.26692160779,-31534.92725817357
64365,42000,24376.49629308677,80806.59338248802,-32053.60079631448
64366,4500,24774.26081547923,81204.35790434924,-31655.83627339078
64367,21000,24480.605602924334,80910.70269148446,-31949.491485635794
64368,26000,24205.06337505333,80635.16045371117,-32225.03370360451
64369,22300,24111.985744713682,80542.08282295044,-32318.111333523077
64370,15000,24237.660753932007,80667.75783180949,-32192.43632394548
64371,26000,24017.29505221126,80447.39210733707,-32412.802002914563
64372,16800,23823.993542647986,80254.09059711959,-32606.10351182361
64373,11000,23864.793428354344,80294.89048227089,-32565.303625562206
64374,8000,23560.557247334815,79990.65430062078,-32869.53980595115
64375,22000,22969.04033118324,79399.13738385084,-33461.056721484354
64376,13000,22863.759638431242,79293.85669055712,-33566.33741369464
64377,13230,22709.551161376086,79139.64821184748,-33720.5458890953
64378,6500,22364.126713186488,78794.22376338782,-34065.97033701485
64379,22000,21979.028705858218,78409.12575525856,-34451.06834354212
64380,25000,21785.75490813618,78215.85195645783,-34644.342140185465
64381,8000,21796.31348591278,78226.41053397118,-34633.78356214563
64382,19000,21746.453590034325,78176.55063660751,-34683.643456538855
64383,8000,21394.539772107164,77824.63681800364,-35035.557273789316
64384,16000,21088.9457778792,77519.04282345073,-35341.15126769234
64385,18000,21012.47372067682,77442.57074363527,-35417.62330228163
64386,22500,20687.164990169167,77117.26201268051,-35742.93203234217
64387,20000,20779.08434138106,77209.1813636096,-35651.012680847474
64388,16000,20874.785171750118,77304.88219071737,-35555.31184721713
64389,22000,20635.968310274235,77066.06532871304,-35794.12870816457
64390,24000,20654.45080376361,77084.54782187106,-35775.64621434385
64391,28875,20750.451309037173,77180.5462684879,-35679.64365041356
64392,31000,20865.073904244087,77295.1688632209,-35565.02105473273
64393,48000,21184.289891634944,77614.38484870631,-35245.80506543641
64394,18000,21786.785905088444,78216.88086167924,-34643.30905150236
64395,170000,22098.046734734056,78528.14169065744,-34332.048221189325
64396,14500,24342.199071870244,80772.29402699134,-32087.89588325085
64397,32000,26561.3048761393,82991.39983056611,-29868.790078287515
64398,28000,26806.647708305398,83236.74266226919,-29623.44724565839
64399,20000,25468.0867687379,81898.18172084875,-30962.008183372956
64400,25000,26709.12851192079,83139.22346349558,-29720.966439654003
64401,8500,26397.472966780926,82827.56791777832,-30032.62198421646
64402,40000,25192.200819707294,81622.29577014239,-31237.8941307278
64403,32000,26257.631123334995,82687.7260724868,-30172.4638258168
64404,17850,26159.434095038414,82589.52904366184,-30270.66085358501
64405,45000,25797.239729175737,82227.33467717544,-30632.855218823977
64406,40000,26544.879325780268,82974.97427325795,-29885.215621697404
64407,25000,26682.469508215116,83112.56445465292,-29747.62543822269
64408,18000,26895.521577397994,83325.61652324314,-29534.573368447156
64409,13000,26910.697531697355,83340.79247693816,-29519.397413543455
64410,14000,26235.979748416714,82666.07469304383,-30194.115196210405
64411,38000,25982.467627115242,82412.56257104545,-30447.627316814956
64412,17000,26091.63329056005,82521.72823384858,-30338.461652728474
64413,29000,25977.036450216183,82407.13139285067,-30453.058492418306
64414,20000,26057.325406085372,82487.42034810231,-30372.769535931562
64415,15000,25860.823826211254,82290.91876749668,-30569.271115074178
64416,44000,25670.212802002454,82100.30774264394,-30759.882138639034
64417,17850,25778.61929092629,82208.71423096038,-30651.475649107808
64418,16000,25930.380710200585,82360.47564962761,-30499.714229226443
64419,57200,25783.375064072432,82213.47000257992,-30646.71987443506
64420,25900,25822.93145939731,82253.02639733664,-30607.163478542017
64421,75000,26587.228289667728,83017.32322690272,-29842.866647567265
64422,40000,27442.778052371686,83872.87298868792,-28987.316883944535
64423,23250,27907.524152656042,84337.61908821468,-28522.570782902585
64424,9000,28591.43851213186,85021.53344734534,-27838.656423081626
64425,12000,27727.398923988345,84157.49385512277,-28702.696007146078
64426,160000,27088.49561994393,83518.59055058133,-29341.599310693473
64427,16400,29340.004724322673,85770.09965434909,-27090.090205703753
64428,66150,31135.11837548559,87565.21330463339,-25294.97655366222
64429,26700,31619.581261908083,88049.67619044655,-24810.513666630388
64430,45000,31093.291754876853,87523.38668245485,-25336.80317270114
64431,27000,32309.98506995519,88740.0799971492,-24120.109857238815
64432,40000,31917.189988647006,88347.28491239648,-24512.90493510248
64433,33600,31668.116087840852,88098.21101129247,-24761.97883561077
64434,21000,32465.791552857238,88895.88647347467,-23964.303367760196
64435,28900,31956.446726956572,88386.54164703132,-24473.648193118184
64436,53000,31504.13079628322,87934.2257156877,-24925.964123121266
64437,69000,32274.415752818237,88704.51067156225,-24155.679165925783
64438,23000,32957.49518746906,89387.5901058177,-23472.599730879578
64439,50000,33337.22464579444,89767.31956092824,-23092.870269339364
64440,24000,33590.6089869229,90020.70390176581,-22839.48592792001
64441,23000,33322.821328179736,89752.91624017198,-23107.273583812508
64442,65000,33378.83156909674,89808.9264805743,-23051.263342380822
64443,23400,33480.41475528707,89910.5096660189,-22949.68015544476
64444,30000,33839.29488734117,90269.3897974375,-22590.800022755153
64445,42000,33927.35319396865,90357.44810347744,-22502.741715540134
64446,55000,33403.15308114576,89833.24798990175,-23026.941827610215
64447,14500,34286.70994877671,90716.80485700737,-22143.384959453957
64448,16000,34454.073499837985,90884.16840700564,-21976.02140732966
64449,34125,33339.60949596357,89769.70440261574,-23090.485410688605
64450,19400,33262.120001259485,89692.21490722624,-23167.974904707262
64451,24000,33379.48203335784,89809.57693878571,-23050.612872070036
64452,23000,32630.8797500531,89060.9746543325,-23799.21515422631
64453,25000,32419.45429185279,88849.54919585832,-24010.640612152736
64454,68000,32448.89642197054,88878.99132403385,-23981.19848009277
64455,13500,32527.693033241638,88957.78793478149,-23902.40186829822
64456,25720,33017.9801418134,89448.07504251486,-23412.114758888056
64457,10500,32781.01832253067,89211.11322216169,-23649.076577100343
64458,18900,31650.775555664266,88080.8704547123,-24779.319343383766
64459,7500,31742.716687416316,88172.81158588603,-24687.3782110534
64460,25000,31047.26778801471,87477.36268619105,-25382.827110161634
64461,152250,30257.691824883586,86687.7867166386,-26172.40306687142
64462,33000,32472.011517739127,88902.10640866251,-23958.08337318425
64463,51400,34544.93913640111,90975.03402695092,-21885.15575414869
64464,3000,34643.749959680354,91073.8448494085,-21786.344930047795
64465,21000,33647.85854684285,90077.953435828,-22782.236342142314
